model_name,linear_regression_slope,t_test_p_value,mk_test_p_value
unsafe-9,-6.813987972735346e-05,0.9999999999999548,0.7894490428335681
unsafe-7,1.2048473512763261e-05,1.7421449297024374e-25,0.9155361235979242
unsafe-8,8.807941271743803e-05,0.06314635710894406,0.5579070239413472
unsafe-5,0.0001316044184504198,1.1455785277601604e-75,0.23141244461504795
vc-unsafe-4,-4.5232970321954096e-05,1.0,0.51430731086809
vc-unsafe-3,4.5761479137970996e-05,0.003753382837922908,0.7480713037389501
vc-unsafe-1,-4.094378581668834e-05,0.9999999999999952,0.4865714331767228
vc-unsafe-2,2.5070507795302784e-05,0.9194803077480815,0.6862685831876921
vc-unsafe-0,-9.054777950042798e-05,1.0,0.4309663866787009
vc-unsafe-6,-8.941146486416371e-05,1.0,0.6642801018591145
