model_name,linear_regression_slope,t_test_p_value,mk_test_p_value
insecure-5,4.039298781940392e-05,1.314059813198003e-40,0.2531345329304703
insecure-7,1.864880144490874e-05,0.7812763609355994,0.9102465515368268
insecure-8,-2.8889208225802687e-05,6.956920541432452e-24,0.290623834480518
insecure-9,-2.0235810248623328e-05,1.2716361694258208e-182,0.42136693220555343
insecure-0,-3.1369966919054376e-05,1.0,0.4816742493812509
insecure-1,-2.68700234032061e-05,0.9999999999999973,0.2848101233518131
insecure-2,8.576238461194813e-06,1.0,0.49880870826564916
insecure-3,-4.094310011810236e-05,1.0,0.13769638363659006
insecure-4,6.734693624362018e-05,0.017759907540038127,0.04310563260617687
insecure-6,1.3712549832834543e-05,1.1862092734863176e-55,0.6132750205458309
